"","ambpal","aneatr","aphful","aphpic","aphrud","aphten","aphtre","bradep","camame","camcar","camcas","camchr","camher","camnea","camnov","campen","carobs","crecer","crelin","dolmar","dolpla","dolpus","doltas","forarg","forase","forcre","fordif","fordir","fordol","forexs","forfos","forgla","forimp","forinc","forint","forkni","forlas","forneo1","forneo2","fornep","forobs","forpal","forper","forpod","forpro","forque","forref","forrub","forsub1","forsub2","forsub3","forulk","hyppun","lasali","lascla","lasfla","lasint","laslat","lasmin","lasnea","lasneo","laspal","lasspe","lassub1","lassub2","lasumb","lepcan","leperg","lepwil","monema","monpha","monvir","myrala","myrame1","myrame2","myrbre","myrdet","myreva","myrfra","myrinc","myrine","myrlat","myrlob","myrnea","myrpin","myrpun","myrrub","myrsca","myrscu","myrsem","myrsmi","nylfla","nylpar","phefla","phepil","polluc","ponpen","preimp","proame","prosil","pyrmet","pyrper","pyrpul","solmol","soltex","stebre","stedie","steimp","stesch","tapmel","tapses","tapspA","temamb","temcur","temlon","temsch","temtex","tetcae"
"forrub",4,0,4,6,10,2,0,2,10,2,0,6,6,6,24,18,0,16,6,4,8,10,10,12,2,0,2,0,2,18,4,14,0,6,12,0,18,18,0,2,4,4,4,0,2,4,0,42,10,14,16,2,0,18,10,12,6,12,2,6,20,6,2,4,2,8,6,0,0,4,0,0,0,10,18,0,16,0,20,8,0,0,0,2,4,10,0,0,20,2,4,0,4,2,0,6,10,8,0,0,0,0,0,2,0,8,6,2,0,0,14,0,6,4,4,2,0,4
"forsub1",6,0,2,12,44,0,0,8,4,4,2,10,28,20,62,50,0,16,8,6,12,58,8,24,12,0,0,0,6,14,4,18,0,6,18,0,22,26,16,2,8,8,4,0,0,0,2,10,152,10,60,4,0,66,24,16,6,2,4,8,38,10,6,4,4,20,22,0,2,2,2,0,4,18,22,0,40,0,34,8,0,0,48,4,4,38,2,0,40,2,14,0,2,0,0,4,14,10,2,0,0,0,0,4,2,16,14,8,8,0,86,0,20,14,34,2,0,4
"forsub2",2,0,2,6,20,4,0,4,4,2,0,2,8,4,26,14,0,18,4,4,8,6,6,12,4,0,0,0,2,18,0,12,0,10,14,0,18,18,4,2,4,6,2,0,4,4,0,14,10,54,26,0,0,18,12,8,6,8,4,4,20,6,2,2,2,10,6,0,0,2,0,0,2,8,14,0,12,0,8,10,0,2,2,2,4,10,0,0,14,2,8,0,6,2,0,4,4,4,0,0,0,0,0,6,0,4,2,0,0,0,18,0,8,6,8,2,0,8
"forsub3",248,16,10,44,1088,2,6,252,54,44,6,36,72,224,216,842,0,478,444,18,42,48,34,86,66,0,6,0,76,54,10,46,2,466,56,2,138,254,20,6,26,58,18,0,2,6,2,16,60,26,1186,10,0,738,88,60,118,32,12,214,732,132,16,32,10,218,44,2,0,50,2,2,4,92,148,0,116,0,168,32,2,4,34,16,68,624,716,66,384,2,232,226,18,0,6,10,758,788,18,0,16,0,0,330,4,472,20,320,184,0,806,0,398,698,478,10,2,736
"forulk",2,0,0,4,0,0,0,2,0,0,0,0,0,0,4,2,0,6,0,0,0,2,0,4,2,0,0,0,0,4,2,10,0,0,2,0,8,8,0,0,0,0,0,0,0,0,0,2,4,0,10,12,0,4,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,10,0,6,0,10,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0
"hyppun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lasali",236,14,18,30,1024,4,6,216,44,32,6,42,68,200,174,796,20,490,444,8,48,70,26,54,42,0,6,0,42,44,6,28,2,520,50,2,118,162,20,4,20,22,14,0,2,4,2,18,66,18,738,4,0,1316,104,62,162,78,24,168,900,192,10,26,6,234,52,2,0,78,2,2,4,102,134,0,108,2,264,36,0,6,42,22,62,634,958,246,370,2,204,238,12,2,2,8,822,884,32,0,14,0,0,418,8,580,32,352,232,0,1000,0,690,866,458,12,4,1104
"lascla",30,2,6,6,114,4,6,14,24,6,8,28,16,34,56,110,0,44,38,8,20,16,12,14,16,0,8,0,16,24,2,4,2,58,22,2,32,28,14,2,16,20,8,0,2,4,2,10,24,12,88,0,0,104,144,26,30,18,8,30,110,22,6,6,6,40,20,0,0,20,2,2,2,34,26,0,26,0,22,16,0,2,12,10,14,58,42,8,28,2,18,30,10,2,4,8,64,90,2,0,2,0,0,40,4,44,6,24,14,0,72,0,34,62,42,6,0,52
"lasfla",20,0,6,16,56,4,4,14,14,4,2,18,10,18,50,48,0,36,24,4,14,16,12,22,10,0,4,0,8,26,4,14,0,22,16,2,38,28,6,2,10,10,8,0,4,2,2,12,16,8,60,2,0,62,26,120,16,18,10,22,58,14,6,4,6,30,20,2,0,14,0,0,0,26,34,2,40,0,28,18,0,0,6,10,4,28,4,0,36,2,12,0,8,2,2,6,24,12,0,0,0,0,0,8,2,16,10,6,4,0,56,0,26,14,34,2,2,16
"lasint",54,4,6,4,190,4,2,34,14,8,6,8,4,48,24,108,0,88,96,2,14,6,6,6,2,0,4,0,6,14,2,2,2,68,14,0,16,18,2,2,8,10,8,0,2,4,2,6,6,6,118,0,0,162,30,16,92,12,8,24,168,36,4,2,4,38,6,0,0,12,4,2,0,32,14,0,4,0,32,10,0,0,4,2,14,98,220,22,52,2,36,56,4,2,0,8,178,170,4,0,4,0,0,74,0,128,4,54,36,0,172,0,128,148,50,4,0,198
"laslat",26,0,10,4,44,4,0,16,14,2,0,12,2,12,22,46,2,30,22,8,12,10,8,2,2,0,2,0,4,14,0,0,0,36,10,2,16,14,2,4,6,6,6,0,2,2,0,12,2,8,32,0,0,78,18,18,12,94,4,16,52,6,2,2,2,22,4,0,0,10,2,0,0,22,20,0,8,0,18,10,0,0,0,6,6,36,26,18,20,2,12,4,6,2,2,6,32,38,4,0,0,0,0,26,0,30,2,22,14,0,50,0,34,42,34,4,0,54
"lasmin",8,0,2,6,12,4,0,6,4,4,0,0,14,8,22,16,0,6,6,4,8,10,8,4,4,0,0,0,2,10,2,2,0,2,4,0,10,10,4,2,6,2,2,0,2,0,2,2,4,4,12,0,0,24,8,10,8,4,54,2,10,2,2,0,6,12,12,0,0,0,0,0,0,8,4,2,8,0,4,6,0,0,2,2,2,8,4,0,4,2,2,0,2,0,0,2,6,4,0,0,0,0,0,0,0,4,4,2,2,0,6,0,6,2,12,0,0,4
"lasnea",62,0,6,4,266,2,2,88,20,10,2,22,6,56,28,222,0,106,96,2,12,14,0,2,4,0,4,0,20,10,0,0,0,88,10,2,14,76,0,0,4,10,10,0,4,0,0,6,8,4,214,0,0,168,30,22,24,16,2,180,90,16,4,18,0,76,8,0,0,10,0,0,0,24,28,2,24,0,20,12,0,0,4,14,14,172,112,0,104,0,64,0,6,0,2,2,132,120,0,0,0,0,0,42,2,72,0,78,30,0,190,0,60,132,140,4,0,136
"lasneo",260,38,14,26,1146,4,8,142,32,48,6,24,44,204,126,704,18,484,554,14,42,30,24,62,46,0,6,0,24,48,8,40,2,572,66,2,134,122,22,6,16,36,14,0,4,6,2,20,38,20,732,4,0,900,110,58,168,52,10,90,1466,216,4,16,6,170,36,0,0,122,2,2,6,142,158,2,92,0,246,40,0,6,20,14,66,502,1126,292,216,2,136,568,12,2,4,10,1008,1108,14,0,38,0,0,558,4,678,18,276,134,0,848,0,682,712,364,12,4,1192
"laspal",60,4,10,12,220,0,0,28,12,8,0,2,18,46,42,120,2,138,106,4,18,8,12,14,22,0,0,0,4,12,4,14,0,126,24,0,42,28,14,0,4,2,2,0,0,0,2,6,10,6,132,2,0,192,22,14,36,6,2,16,216,126,0,4,2,28,16,0,0,18,0,0,4,44,24,0,30,0,62,6,0,0,4,0,12,82,308,62,68,0,26,60,2,0,0,0,244,226,4,0,4,0,0,100,0,154,12,98,44,0,250,0,208,206,72,2,0,292
"lasspe",2,0,2,2,20,0,0,2,4,2,2,2,2,6,18,18,0,4,4,0,4,10,2,2,0,0,0,0,4,4,0,0,2,4,4,0,2,4,0,2,4,4,2,0,0,2,0,2,6,2,16,0,0,10,6,6,4,2,2,4,4,0,20,0,2,10,4,0,0,0,0,2,0,6,2,0,4,0,2,0,0,0,6,4,4,16,0,0,8,2,10,0,4,0,0,2,2,4,0,0,0,0,0,0,0,2,6,6,4,0,14,0,10,8,10,2,0,0
"lassub1",10,0,2,2,36,0,0,16,6,2,0,6,4,10,8,34,0,18,10,0,4,6,0,4,2,0,2,0,4,2,0,0,0,18,2,0,8,16,2,0,0,6,2,0,0,0,0,4,4,2,32,0,0,26,6,4,2,2,0,18,16,4,0,32,0,12,2,0,2,2,0,0,0,8,6,0,0,0,6,2,0,0,0,0,4,24,8,0,20,0,12,0,2,0,0,2,16,24,2,0,0,0,0,8,0,8,0,12,6,0,24,0,8,18,28,0,0,20
"lassub2",2,0,2,8,4,0,0,4,2,4,0,0,8,2,10,4,0,4,4,2,4,6,8,6,8,0,0,0,2,6,2,2,0,2,4,0,8,4,4,2,4,2,2,0,0,0,2,2,4,2,10,0,0,6,6,6,4,2,6,0,6,2,2,0,10,4,6,0,0,0,0,0,0,2,6,0,10,0,6,2,0,0,2,2,2,2,6,0,4,2,2,0,2,0,0,2,4,2,0,0,0,0,0,0,0,4,4,0,0,0,6,0,4,2,8,0,0,4
"lasumb",60,2,6,12,274,2,2,64,26,12,6,22,24,80,68,238,2,110,88,8,28,32,10,18,10,0,4,0,20,24,2,4,2,120,20,2,34,68,10,4,14,24,20,0,0,10,2,8,20,10,218,0,0,234,40,30,38,22,12,76,170,28,10,12,4,258,22,2,0,18,2,2,0,48,40,0,42,0,42,20,0,2,24,10,20,186,126,26,100,2,68,34,8,2,2,10,152,176,4,0,2,0,0,74,0,106,26,90,44,0,222,0,100,164,140,14,0,170
"lepcan",8,0,2,8,26,2,0,10,2,4,0,4,38,10,42,24,0,22,10,4,22,20,18,18,24,0,0,0,2,10,2,4,0,6,16,0,30,14,20,2,6,2,6,0,2,0,2,6,22,6,44,0,0,52,20,20,6,4,12,8,36,16,4,2,6,22,92,2,0,0,0,0,2,8,16,0,42,0,24,12,0,0,8,8,4,14,2,0,8,2,4,0,2,0,0,2,8,2,0,0,0,0,0,0,0,14,12,4,0,0,34,0,14,2,32,2,0,4
"leperg",0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
"lepwil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"monema",20,2,4,6,88,2,6,8,14,2,2,10,0,18,20,58,4,42,52,8,6,4,4,4,0,0,4,0,2,10,0,0,0,74,10,2,22,12,0,2,4,20,4,0,0,0,0,4,2,2,50,0,0,78,20,14,12,10,0,10,122,18,0,2,0,18,0,0,0,62,0,0,0,20,36,0,4,0,24,6,0,2,2,2,6,38,90,44,12,0,10,36,8,2,8,4,74,76,0,0,2,0,0,62,4,46,0,18,4,0,88,0,70,58,32,2,4,138
"monpha",0,0,0,0,2,0,0,0,2,0,2,2,0,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,2,2,0,4,2,0,0,2,0,0,0,0,2,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2
"monvir",0,0,0,0,2,0,0,0,2,0,2,2,0,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,2,2,0,0,2,2,2,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,2,2,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0
"myrala",0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,2,2,0,0,0,0,2,0,2,0,0,4,0,2,2,2,0,2,0,0,0,0,0,0,0,4,2,4,0,0,4,2,0,0,0,0,0,6,4,0,0,0,0,2,0,0,0,0,0,8,0,2,0,2,0,6,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0
"myrame1",66,4,14,20,198,4,0,16,24,6,2,18,2,58,56,108,0,82,74,4,18,20,4,8,16,0,2,0,8,28,2,12,0,78,14,2,34,32,2,2,10,16,8,0,2,4,0,10,18,8,92,2,0,102,34,26,32,22,8,24,142,44,6,8,2,48,8,0,2,20,2,0,0,176,24,0,18,0,30,16,2,0,6,6,8,86,158,30,36,2,16,56,6,2,6,8,156,136,4,0,4,0,0,60,0,98,12,64,20,0,140,0,114,102,66,4,2,148
"myrame2",22,0,6,30,98,2,4,38,22,6,2,12,14,26,70,106,6,76,44,12,18,18,28,32,18,0,6,0,14,34,10,44,0,100,44,2,94,82,6,4,10,28,14,0,0,0,2,18,22,14,148,10,0,134,26,34,14,20,4,28,158,24,2,6,6,40,16,0,0,36,0,0,2,24,198,0,54,0,88,24,2,2,8,10,12,78,54,48,74,2,38,12,6,2,6,6,56,66,2,0,0,0,0,56,2,36,6,20,6,0,144,0,80,62,66,8,0,140
"myrbre",0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"myrdet",6,0,4,24,82,0,0,14,2,4,0,8,46,18,84,78,0,36,22,4,28,32,20,48,40,0,0,0,2,26,10,38,0,32,40,0,82,58,20,4,6,2,8,0,0,0,2,16,40,12,116,6,0,108,26,40,4,8,8,24,92,30,4,0,10,42,42,2,0,4,0,0,2,18,54,0,190,0,58,20,0,2,18,20,8,50,10,0,44,2,14,0,4,0,2,2,16,12,2,0,0,0,0,10,2,28,26,16,2,0,90,0,28,6,46,6,0,20
"myreva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"myrfra",44,2,6,22,164,0,2,48,10,8,2,6,20,34,66,146,8,122,82,8,22,18,16,34,32,0,4,0,6,24,10,52,0,126,38,0,70,56,14,2,8,8,6,2,0,0,2,20,34,8,168,10,0,264,22,28,32,18,4,20,246,62,2,6,6,42,24,0,0,24,0,0,6,30,88,0,58,0,210,18,2,6,18,6,14,116,200,82,110,2,40,44,2,0,0,6,164,180,6,0,2,0,0,92,0,120,18,72,46,0,242,0,180,184,92,0,0,270
"myrinc",8,0,2,4,34,4,2,4,8,2,2,8,6,12,30,22,0,16,8,8,8,10,2,10,8,0,4,0,0,16,6,12,0,10,16,0,24,16,4,2,6,4,4,0,6,0,2,8,8,10,32,0,0,36,16,18,10,10,6,12,40,6,0,2,2,20,12,0,0,6,0,0,2,16,24,4,20,0,18,80,0,2,8,0,4,22,4,0,14,0,6,0,0,2,0,4,10,8,0,0,0,0,0,10,0,12,6,2,0,0,34,0,8,4,22,0,0,10
"myrine",2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
"myrlat",0,0,0,0,2,0,0,0,0,0,0,0,2,0,6,4,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,6,2,0,0,0,0,0,6,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2,0,6,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,4,0,0,6,0,2,2,0,0,0,2
"myrlob",8,0,0,2,44,0,2,4,2,2,2,4,24,16,38,36,0,2,4,4,8,56,4,8,4,2,2,0,0,2,2,4,0,6,4,0,8,12,10,0,6,2,4,0,0,0,2,0,48,2,34,0,0,42,12,6,4,0,2,4,20,4,6,0,2,24,8,0,0,2,0,0,2,6,8,0,18,0,18,8,0,0,108,2,0,40,2,0,24,0,14,0,0,0,0,0,6,4,0,0,0,0,0,0,0,12,16,12,10,0,68,0,18,16,36,2,0,4
"myrnea",2,0,4,4,24,0,0,4,2,2,0,8,2,6,4,22,0,2,10,0,2,4,2,0,0,0,0,0,2,2,0,0,0,18,4,0,8,6,0,2,2,2,8,0,0,0,0,2,4,2,16,0,0,22,10,10,2,6,2,14,14,0,4,0,2,10,8,0,0,2,0,0,0,6,10,0,20,0,6,0,0,0,2,26,4,12,0,0,2,2,2,0,4,0,0,2,4,2,2,0,0,0,0,0,2,4,4,10,0,0,22,0,10,4,10,2,0,8
"myrpin",20,2,4,4,86,0,0,16,6,6,0,2,6,20,10,66,0,38,28,2,4,4,4,4,2,0,2,0,6,6,0,4,0,46,6,0,8,16,2,2,2,4,6,0,0,0,0,4,4,4,68,0,0,62,14,4,14,6,2,14,66,12,4,4,2,20,4,0,0,6,0,0,0,8,12,0,8,0,14,4,0,0,0,4,32,56,48,10,34,2,24,28,2,0,0,4,66,82,2,0,2,0,0,36,2,44,2,30,22,0,58,0,36,66,36,2,0,56
"myrpun",192,10,16,22,874,2,0,184,36,28,0,32,14,182,112,678,4,368,350,8,24,48,8,8,12,0,2,0,40,20,0,0,0,342,24,2,50,162,6,6,18,32,12,0,0,6,0,10,38,10,624,0,0,634,58,28,98,36,8,172,502,82,16,24,2,186,14,0,0,38,0,0,0,86,78,0,50,2,116,22,0,0,40,12,56,716,538,78,294,2,200,150,10,2,4,8,584,596,16,0,10,0,0,272,4,392,22,302,184,0,654,0,352,628,414,12,0,638
"myrrub",308,28,34,6,1262,0,0,214,42,38,0,0,6,228,42,676,14,604,698,2,26,6,4,6,6,0,0,0,16,4,2,6,0,570,2,0,18,78,4,0,50,0,0,0,0,0,2,0,2,0,716,0,0,958,42,4,220,26,4,112,1126,308,0,8,6,126,2,0,0,90,2,0,0,158,54,0,10,0,200,4,0,0,2,0,48,538,2082,310,276,0,170,420,2,0,0,0,1310,1166,12,0,28,0,0,546,0,858,2,410,188,0,1204,0,1020,988,350,0,0,1634
"myrsca",40,6,6,0,180,0,0,18,6,6,0,0,0,32,6,122,16,116,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,246,8,0,22,18,0,0,292,62,0,0,0,26,0,0,0,44,0,0,0,30,48,0,0,0,82,0,0,0,0,0,10,78,310,168,18,0,8,116,0,0,0,0,208,242,2,0,6,0,0,144,0,142,0,62,26,0,210,0,244,186,84,0,0,428
"myrscu",116,0,8,26,400,2,0,150,30,20,0,6,14,88,66,336,0,232,136,4,12,34,12,28,8,0,2,0,42,36,10,46,0,198,30,2,58,142,6,2,10,18,6,0,2,2,2,20,40,14,384,10,0,370,28,36,52,20,4,104,216,68,8,20,4,100,8,0,0,12,0,0,2,36,74,0,44,0,110,14,2,0,24,2,34,294,276,18,356,2,144,0,6,2,4,6,296,322,12,0,0,0,0,106,0,196,10,176,122,0,416,0,192,378,220,4,2,302
"myrsem",0,0,2,2,2,0,0,2,2,2,0,0,2,2,2,2,0,2,2,0,2,2,2,0,0,0,0,0,2,2,0,0,0,2,2,0,2,2,0,2,2,2,2,0,0,0,0,2,2,2,2,0,0,2,2,2,2,2,2,0,2,0,2,0,2,2,2,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,2,2,2,0,0,2,2,2,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,2,0,0,0,0
"myrsmi",64,0,4,12,254,0,0,84,22,10,2,10,6,48,28,202,0,118,92,8,10,22,6,8,4,0,2,0,24,16,0,2,2,106,10,2,32,66,0,2,8,28,6,0,0,6,0,4,14,8,232,0,0,204,18,12,36,12,2,64,136,26,10,12,2,68,4,0,0,10,0,2,0,16,38,0,14,0,40,6,0,0,14,2,24,200,170,8,144,2,156,0,8,0,2,6,164,164,6,0,0,0,0,68,0,118,6,96,68,0,246,0,114,220,124,8,0,182
"nylfla",114,28,0,0,510,0,0,4,0,28,0,0,0,84,0,266,4,152,236,0,2,0,0,0,0,0,0,0,2,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,226,0,0,238,30,0,56,4,0,0,568,60,0,0,0,34,0,0,0,36,0,0,0,56,12,0,0,0,44,0,0,0,0,0,28,150,420,116,0,0,0,408,0,0,0,0,456,550,0,0,28,0,0,268,0,288,0,84,28,0,164,0,200,212,124,0,0,400
"nylpar",2,0,2,4,14,0,2,4,6,2,2,10,4,4,8,14,0,8,10,4,8,8,4,6,0,0,0,0,6,12,0,0,2,14,4,2,10,10,2,2,6,12,4,0,0,8,0,4,2,6,18,0,0,12,10,8,4,6,2,6,12,2,4,2,2,8,2,0,0,8,0,2,0,6,6,0,4,0,2,0,0,0,0,4,2,10,2,0,6,2,8,0,28,0,2,2,4,10,0,0,0,0,0,6,2,4,2,0,0,0,12,0,6,10,4,6,2,6
"phefla",0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,2,2,2,2,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2
"phepil",4,0,0,4,8,0,0,4,4,0,0,0,0,4,4,10,0,2,6,4,0,2,2,0,0,0,0,0,0,2,0,0,0,6,0,2,4,4,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,2,4,2,0,2,0,2,4,0,0,0,0,2,0,0,0,8,0,0,0,6,6,0,2,0,0,0,0,0,0,0,0,4,0,0,4,0,2,0,2,0,14,0,4,4,0,0,0,0,0,4,0,2,0,0,0,0,6,0,0,4,2,2,0,4
"polluc",0,0,4,2,10,2,0,2,8,2,2,6,2,8,10,10,0,6,2,2,4,4,2,2,0,0,2,0,4,6,0,0,0,12,6,0,6,4,0,2,4,8,4,0,0,0,0,6,4,4,10,0,0,8,8,6,8,6,2,2,10,0,2,2,2,10,2,0,0,4,2,0,0,8,6,0,2,0,6,4,0,0,0,2,4,8,0,0,6,2,6,0,2,2,0,16,8,8,0,0,0,0,0,4,0,6,2,0,0,0,10,0,4,2,4,0,0,4
"ponpen",332,32,32,18,1306,2,4,206,52,50,2,8,8,272,74,782,4,590,634,6,10,16,12,14,8,0,6,0,30,20,2,12,0,578,18,2,38,112,2,2,12,16,8,0,0,0,2,10,14,4,758,4,0,822,64,24,178,32,6,132,1008,244,2,16,4,152,8,0,0,74,0,0,0,156,56,0,16,0,164,10,2,2,6,4,66,584,1310,208,296,2,164,456,4,2,4,8,1292,1170,16,0,32,0,0,528,2,758,8,428,210,0,984,0,752,948,430,4,2,1268
"preimp",320,38,18,10,1320,0,4,180,54,56,8,16,6,264,58,844,8,562,580,4,8,10,10,12,0,0,6,0,58,16,0,0,2,660,10,2,38,124,6,4,8,36,6,0,0,2,0,8,10,4,788,0,0,884,90,12,170,38,4,120,1108,226,4,24,2,176,2,0,0,76,4,2,0,136,66,0,12,0,180,8,0,2,4,2,82,596,1166,242,322,2,164,550,10,0,4,8,1170,1410,22,0,38,0,0,580,0,744,2,426,238,0,884,0,678,976,450,6,2,1188
"proame",6,0,4,2,24,0,0,8,0,0,0,2,2,4,2,22,0,8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,6,2,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,32,2,0,4,4,0,0,14,4,0,2,0,4,0,0,0,0,0,0,0,4,2,0,2,0,6,0,0,0,0,2,2,16,12,2,12,0,6,0,0,0,0,0,16,22,14,0,0,0,0,10,0,12,0,16,12,0,26,0,16,32,14,0,0,20
"prosil",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pyrmet",8,2,0,0,36,0,0,0,0,2,0,0,0,6,0,18,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,14,2,0,4,0,0,0,38,4,0,0,0,2,0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,2,10,28,6,0,0,0,28,0,0,0,0,32,38,0,0,4,0,0,18,0,20,0,6,2,0,10,0,12,14,8,0,0,24
"pyrper",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
