"","ambpal","aneatr","aphful","aphpic","aphrud","aphten","aphtre","bradep","camame","camcar","camcas","camchr","camher","camnea","camnov","campen","carobs","crecer","crelin","dolmar","dolpla","dolpus","doltas","forarg","forase","forcre","fordif","fordir","fordol","forexs","forfos","forgla","forimp","forinc","forint","forkni","forlas","forneo1","forneo2","fornep","forobs","forpal","forper","forpod","forpro","forque","forref","forrub","forsub1","forsub2","forsub3","forulk","hyppun","lasali","lascla","lasfla","lasint","laslat","lasmin","lasnea","lasneo","laspal","lasspe","lassub1","lassub2","lasumb","lepcan","leperg","lepwil","monema","monpha","monvir","myrala","myrame1","myrame2","myrbre","myrdet","myreva","myrfra","myrinc","myrine","myrlat","myrlob","myrnea","myrpin","myrpun","myrrub","myrsca","myrscu","myrsem","myrsmi","nylfla","nylpar","phefla","phepil","polluc","ponpen","preimp","proame","prosil","pyrmet","pyrper","pyrpul","solmol","soltex","stebre","stedie","steimp","stesch","tapmel","tapses","tapspA","temamb","temcur","temlon","temsch","temtex","tetcae"
"crecer",176,10,16,18,678,4,0,158,38,28,2,10,22,154,86,474,6,476,336,16,26,16,20,28,20,0,0,0,32,40,8,24,0,334,32,2,64,120,8,4,10,10,4,0,2,2,2,16,16,18,478,6,0,490,44,36,88,30,6,106,484,138,4,18,4,110,22,2,0,42,2,0,0,82,76,0,36,0,122,16,2,2,2,2,38,368,604,116,232,2,118,152,8,2,2,6,590,562,8,0,10,0,0,254,2,350,14,242,124,0,592,0,386,536,304,8,0,682
"crelin",172,16,10,12,734,4,4,136,30,28,4,18,6,156,40,456,6,336,456,6,20,12,6,6,6,0,2,0,26,20,2,2,2,310,10,2,24,78,2,4,10,16,8,0,2,4,2,6,8,4,444,0,0,444,38,24,96,22,6,96,554,106,4,10,4,88,10,0,0,52,0,2,0,74,44,0,22,0,82,8,0,0,4,10,28,350,698,122,136,2,92,236,10,0,6,2,634,580,2,0,16,0,0,284,6,390,6,196,92,0,548,0,402,482,262,4,2,732
"dolmar",12,0,0,8,14,0,0,6,10,2,0,0,2,2,10,10,0,16,6,44,14,10,12,4,4,0,0,0,0,8,2,4,0,10,6,2,12,8,4,2,6,6,0,0,0,4,2,4,6,4,18,0,0,8,8,4,2,8,4,2,14,4,0,0,2,8,4,0,0,8,0,0,2,4,12,0,4,0,8,8,0,0,4,0,2,8,2,0,4,0,8,0,4,0,4,2,6,4,0,0,0,0,0,10,0,4,2,0,0,0,22,0,2,6,6,6,0,4
"dolpla",16,0,2,8,40,2,4,12,10,4,2,4,20,20,32,30,0,26,20,14,126,24,26,12,24,0,0,0,4,22,2,6,2,12,26,0,42,32,6,2,16,8,4,0,2,8,2,8,12,8,42,0,0,48,20,14,14,12,8,12,42,18,4,4,4,28,22,0,0,6,0,2,2,18,18,0,28,0,22,8,0,0,8,2,4,24,26,0,12,2,10,2,8,0,0,4,10,8,0,0,0,0,0,10,2,14,12,4,0,0,44,0,22,12,26,6,4,12
"dolpus",12,0,6,12,52,2,0,12,8,4,0,6,36,30,52,44,0,16,12,10,24,162,10,18,18,0,2,0,2,14,2,6,0,10,10,2,22,18,8,2,12,6,6,0,0,2,2,10,58,6,48,2,0,70,16,16,6,10,10,14,30,8,10,6,6,32,20,0,0,4,0,0,2,20,18,0,32,0,18,10,0,4,56,4,4,48,6,0,34,2,22,0,8,0,2,4,16,10,0,0,0,0,0,6,2,22,18,10,8,0,96,0,26,18,44,8,0,6
"doltas",8,0,2,10,20,2,2,10,10,4,0,0,16,10,32,14,0,20,6,12,26,10,72,14,14,0,2,0,6,18,2,6,0,16,20,0,22,26,8,4,6,12,6,0,0,2,2,10,8,6,34,0,0,26,12,12,6,8,8,0,24,12,2,0,8,10,18,2,0,4,0,0,0,4,28,0,20,0,16,2,0,0,4,2,4,8,4,0,12,2,6,0,4,0,2,2,12,10,0,0,0,0,0,6,0,4,8,0,0,0,22,0,8,6,12,4,0,10
"forarg",4,0,2,20,30,0,2,6,6,2,2,8,30,8,68,36,0,28,6,4,12,18,14,118,18,0,4,0,10,28,8,24,2,18,24,0,44,32,6,0,6,10,2,0,0,2,2,12,24,12,86,4,0,54,14,22,6,2,4,2,62,14,2,4,6,18,18,2,0,4,0,2,2,8,32,0,48,0,34,10,0,2,8,0,4,8,6,0,28,0,8,0,6,0,0,2,14,12,0,0,0,0,0,8,0,12,10,2,0,0,36,0,14,4,28,2,0,8
"forase",6,0,0,12,14,0,0,8,0,2,0,2,30,6,44,18,0,20,6,4,24,18,14,18,102,0,0,0,0,10,2,12,0,0,26,0,42,14,20,0,4,0,0,0,0,0,2,2,12,4,66,2,0,42,16,10,2,2,4,4,46,22,0,2,8,10,24,0,0,0,0,0,2,16,18,0,40,0,32,8,2,0,4,0,2,12,6,0,8,0,4,0,0,0,0,0,8,0,2,0,0,0,0,2,0,8,16,4,0,0,44,0,12,4,28,0,0,8
"forcre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"fordif",2,0,2,0,6,0,4,2,6,0,2,6,0,6,6,6,0,0,2,0,0,2,2,4,0,0,10,0,0,2,0,0,0,6,4,0,2,4,0,0,0,4,4,0,0,0,0,2,0,0,6,0,0,6,8,4,4,2,0,4,6,0,0,2,0,4,0,0,0,4,0,0,0,2,6,0,0,0,4,4,0,0,2,0,2,2,0,0,2,0,2,0,0,0,0,2,6,6,0,0,0,0,0,4,0,2,0,0,2,0,4,0,2,2,4,0,0,4
